                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.77925,                0.54431,                 1.0523,                0.90334,                0.87984,                0.94282,                0.70367,                0.95954,                0.61593,                 1.1572,             0.00028475,             0.00028475,             0.00028475
                     80,                0.79537,                0.54177,                 1.0553,                0.85393,                  0.898,                0.93648,                0.70856,                 0.9693,                0.64927,                 1.1676,             0.00027237,             0.00027237,             0.00027237
                     81,                0.78814,                0.53586,                 1.0642,                0.89624,                0.87632,                0.93029,                0.69923,                0.97238,                 0.6576,                 1.1657,                0.00026,                0.00026,                0.00026
                     82,                0.78803,                0.53152,                 1.0583,                0.89812,                0.87374,                0.92666,                0.69765,                0.96552,                0.62331,                 1.1683,             0.00024762,             0.00024762,             0.00024762
                     83,                0.79012,                0.54181,                 1.0621,                  0.906,                 0.8815,                0.93423,                0.69738,                0.97997,                0.62557,                 1.1801,             0.00023525,             0.00023525,             0.00023525
                     84,                0.77049,                0.52136,                 1.0511,                0.91038,                0.87715,                0.94075,                0.69725,                0.99266,                 0.6189,                 1.1826,             0.00022288,             0.00022288,             0.00022288
                     85,                0.76183,                0.52693,                 1.0568,                 0.9124,                0.87844,                 0.9353,                0.69782,                0.97725,                0.59534,                 1.1621,              0.0002105,              0.0002105,              0.0002105
                     86,                0.76775,                0.50353,                  1.041,                0.89635,                0.88452,                0.90945,                0.68435,                0.97811,                0.61048,                 1.1657,             0.00019813,             0.00019813,             0.00019813
                     87,                0.78442,                0.54437,                 1.0633,                0.90184,                0.89257,                0.93253,                0.69812,                0.97691,                0.59385,                 1.1681,             0.00018575,             0.00018575,             0.00018575
                     88,                0.75767,                0.52154,                 1.0402,                0.90314,                0.88014,                0.92888,                0.69839,                0.98053,                0.61946,                  1.165,             0.00017338,             0.00017338,             0.00017338
                     89,                0.75125,                0.51174,                 1.0359,                0.89453,                0.88585,                0.93381,                0.70527,                0.97959,                0.61465,                 1.1679,               0.000161,               0.000161,               0.000161
                     90,                0.74969,                0.50272,                 1.0354,                0.90376,                0.88858,                0.94591,                0.70898,                0.97625,                 0.5911,                 1.1656,             0.00014862,             0.00014862,             0.00014862
                     91,                0.59756,                0.31317,                0.97073,                0.90351,                0.88037,                0.92448,                0.70096,                0.97519,                0.62441,                 1.1786,             0.00013625,             0.00013625,             0.00013625
                     92,                0.59594,                0.30565,                0.97027,                0.88704,                0.87514,                0.90636,                0.68503,                0.97936,                0.65547,                 1.1774,             0.00012387,             0.00012387,             0.00012387
                     93,                0.58921,                0.29356,                0.96057,                0.89699,                0.88356,                0.91711,                0.68346,                0.98437,                 0.6505,                 1.1785,              0.0001115,              0.0001115,              0.0001115
                     94,                0.58102,                0.29041,                0.96733,                0.90177,                0.88369,                0.92118,                0.69227,                0.97045,                0.63896,                 1.1746,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.55987,                0.28152,                  0.968,                0.89855,                0.88322,                0.91924,                0.69073,                0.98322,                0.63886,                 1.1828,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.57153,                0.28528,                0.96526,                0.90363,                0.88269,                0.93092,                0.69754,                0.98198,                0.62319,                 1.1865,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.56628,                0.27829,                0.95141,                0.90558,                 0.8843,                0.94107,                0.70131,                 0.9929,                0.61631,                  1.196,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.54664,                0.27907,                0.95474,                0.90636,                0.88452,                0.94394,                0.70871,                0.97954,                0.60597,                 1.1802,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                  0.547,                0.27378,                0.94361,                0.90309,                0.88354,                0.94478,                0.71132,                0.97528,                0.61817,                 1.1787,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                 0.5469,                0.27702,                0.96052,                0.90344,                0.88332,                0.94444,                0.71507,                0.97355,                0.61124,                 1.1776,             2.4875e-05,             2.4875e-05,             2.4875e-05
